"","country","category","value","classificacao"
"1","Brazil","Online Retail",8.76,"B2B Powerhouses"
"2","Brazil","SaaS",11.789,"B2B Powerhouses"
"3","Brazil","Travel",6.18,"B2B Powerhouses"
"4","Brazil","Social Media",3.48,"B2B Powerhouses"
"5","Brazil","Online Education",2.5,"B2B Powerhouses"
"6","Chile","Online Retail",0.556,"B2B Expansion Priorities"
"7","Chile","SaaS",0.805,"B2B Expansion Priorities"
"8","Chile","Travel",0.539,"B2B Expansion Priorities"
"9","Chile","Social Media",0.135,"B2B Expansion Priorities"
"10","Chile","Online Education",0.081,"B2B Expansion Priorities"
"11","Colombia","Online Retail",0.006,"B2B Expansion Priorities"
"12","Colombia","SaaS",0.84,"B2B Expansion Priorities"
"13","Colombia","Travel",0.25,"B2B Expansion Priorities"
"14","Colombia","Social Media",0.05,"B2B Expansion Priorities"
"15","Colombia","Online Education",0.03,"B2B Expansion Priorities"
"16","Costa Rica","Online Retail",0.033,"Next-Wave B2B Markets"
"17","Costa Rica","SaaS",0.127,"Next-Wave B2B Markets"
"18","Costa Rica","Travel",0.07,"Next-Wave B2B Markets"
"19","Costa Rica","Social Media",0.026,"Next-Wave B2B Markets"
"20","Costa Rica","Online Education",0.021,"Next-Wave B2B Markets"
"21","Dominican Republic","Online Retail",0.01,"Next-Wave B2B Markets"
"22","Dominican Republic","SaaS",0.02,"Next-Wave B2B Markets"
"23","Dominican Republic","Travel",0.004,"Next-Wave B2B Markets"
"24","Dominican Republic","Social Media",0.001,"Next-Wave B2B Markets"
"25","Dominican Republic","Online Education",0.001,"Next-Wave B2B Markets"
"26","Ecuador","Online Retail",0.108,"Next-Wave B2B Markets"
"27","Ecuador","SaaS",0.113,"Next-Wave B2B Markets"
"28","Ecuador","Travel",0.07,"Next-Wave B2B Markets"
"29","Ecuador","Social Media",0.075,"Next-Wave B2B Markets"
"30","Ecuador","Online Education",0.053,"Next-Wave B2B Markets"
"31","Egypt","Online Retail",0.131,"Next-Wave B2B Markets"
"32","Egypt","SaaS",0.078,"Next-Wave B2B Markets"
"33","Egypt","Travel",0.047,"Next-Wave B2B Markets"
"34","Egypt","Social Media",0.076,"Next-Wave B2B Markets"
"35","India","Online Retail",6.451,"B2B Powerhouses"
"36","India","SaaS",6.876,"B2B Powerhouses"
"37","India","Travel",1.018,"B2B Powerhouses"
"38","India","Social Media",4.332,"B2B Powerhouses"
"39","India","Online Education",2.224,"B2B Powerhouses"
"40","Kenya","Online Retail",0.022,"Next-Wave B2B Markets"
"41","Kenya","SaaS",0.576,"Next-Wave B2B Markets"
"42","Kenya","Travel",0.108,"Next-Wave B2B Markets"
"43","Kenya","Social Media",0.075,"Next-Wave B2B Markets"
"44","Kenya","Online Education",0.059,"Next-Wave B2B Markets"
"45","Mexico","Online Retail",4.191,"B2B Powerhouses"
"46","Mexico","SaaS",3.655,"B2B Powerhouses"
"47","Mexico","Travel",2.538,"B2B Powerhouses"
"48","Mexico","Social Media",1.708,"B2B Powerhouses"
"49","Mexico","Online Education",1.56,"B2B Powerhouses"
"50","Nigeria","Online Retail",0.05,"Next-Wave B2B Markets"
"51","Nigeria","SaaS",0.096,"Next-Wave B2B Markets"
"52","Nigeria","Travel",0.154,"Next-Wave B2B Markets"
"53","Nigeria","Social Media",0.143,"Next-Wave B2B Markets"
"54","Nigeria","Online Education",0.015,"Next-Wave B2B Markets"
"55","Peru","Online Retail",0.1,"B2B Expansion Priorities"
"56","Peru","SaaS",0.7,"B2B Expansion Priorities"
"57","Peru","Travel",0.3,"B2B Expansion Priorities"
"58","Peru","Social Media",0.2,"B2B Expansion Priorities"
"59","Peru","Online Education",0.02,"B2B Expansion Priorities"
"60","Philippines","Online Retail",0.465,"B2B Expansion Priorities"
"61","Philippines","SaaS",0.771,"B2B Expansion Priorities"
"62","Philippines","Travel",2.249,"B2B Expansion Priorities"
"63","Philippines","Social Media",0.433,"B2B Expansion Priorities"
"64","Philippines","Online Education",0.464,"B2B Expansion Priorities"
"65","South Africa","Online Retail",0.3,"B2B Expansion Priorities"
"66","South Africa","SaaS",0.45,"B2B Expansion Priorities"
"67","South Africa","Travel",0.08,"B2B Expansion Priorities"
"68","South Africa","Social Media",0.17,"B2B Expansion Priorities"
"69","South Africa","Online Education",0.083,"B2B Expansion Priorities"
"70","Argentina","Online Retail",0.356,"B2B Expansion Priorities"
"71","Argentina","SaaS",0.4,"B2B Expansion Priorities"
"72","Argentina","Travel",0.285,"B2B Expansion Priorities"
"73","Argentina","Social Media",0.432,"B2B Expansion Priorities"
"74","Argentina","Online Education",0.032,"B2B Expansion Priorities"
