"country","merchant_vertical_commercial","metodo_de_pagamento_ajustado","source","type","value"
"Brazil","Online Education","Boleto","PCMI","pct_tpv_ebanx_b2b",0.75
"Brazil","Online Education","Boleto","PCMI","market_average",0.01
"Brazil","Online Education","Credit Card","PCMI","pct_tpv_ebanx_b2b",0.12
"Brazil","Online Education","Credit Card","PCMI","market_average",0.88
"Brazil","Online Education","Pix","PCMI","pct_tpv_ebanx_b2b",0.04
"Brazil","Online Education","Pix","PCMI","market_average",0.01
"Brazil","Online Education","Pix Automático","PCMI","pct_tpv_ebanx_b2b",0.09
"Brazil","Online Education","Pix Automático","PCMI","market_average",0
"Brazil","Online Education","Other","PCMI","pct_tpv_ebanx_b2b",0
"Brazil","Online Education","Other","PCMI","market_average",0.1
"Brazil","SaaS","Boleto","PCMI","pct_tpv_ebanx_b2b",0.33
"Brazil","SaaS","Boleto","PCMI","market_average",0.07
"Brazil","SaaS","Credit Card","PCMI","pct_tpv_ebanx_b2b",0.53
"Brazil","SaaS","Credit Card","PCMI","market_average",0.67
"Brazil","SaaS","Digital wallet","PCMI","pct_tpv_ebanx_b2b",0.01
"Brazil","SaaS","Digital wallet","PCMI","market_average",0.07
"Brazil","SaaS","Pix","PCMI","pct_tpv_ebanx_b2b",0.13
"Brazil","SaaS","Pix","PCMI","market_average",0.15
"Brazil","SaaS","Other","PCMI","pct_tpv_ebanx_b2b",0
"Brazil","SaaS","Other","PCMI","market_average",0.04
"Brazil","Social Media","Boleto","PCMI","pct_tpv_ebanx_b2b",0.02
"Brazil","Social Media","Boleto","PCMI","market_average",0.05
"Brazil","Social Media","Credit Card","PCMI","pct_tpv_ebanx_b2b",0.42
"Brazil","Social Media","Credit Card","PCMI","market_average",0.6
"Brazil","Social Media","Pix","PCMI","pct_tpv_ebanx_b2b",0.55
"Brazil","Social Media","Pix","PCMI","market_average",0.18
"Brazil","Social Media","Other","PCMI","pct_tpv_ebanx_b2b",0
"Brazil","Social Media","Other","PCMI","market_average",0.17
"Brazil","Travel","Boleto","PCMI","pct_tpv_ebanx_b2b",0.43
"Brazil","Travel","Boleto","PCMI","market_average",0.07
"Brazil","Travel","Credit Card","PCMI","pct_tpv_ebanx_b2b",0.08
"Brazil","Travel","Credit Card","PCMI","market_average",0.47
"Brazil","Travel","Pix","PCMI","pct_tpv_ebanx_b2b",0.49
"Brazil","Travel","Pix","PCMI","market_average",0.36
"Brazil","Travel","Other","PCMI","pct_tpv_ebanx_b2b",0
"Brazil","Travel","Other","PCMI","market_average",0.1
