"ref_area","ref_area_label","year2024","classification"
"ALB","Albania",35.30899685,"increase"
"ARG","Argentina",72.21273527,"increase"
"ARM","Armenia",60.58038044,"increase"
"AZE","Azerbaijan",51.59164216,"decrease"
"BEN","Benin",47.74710202,"increase"
"BGD","Bangladesh",33.94753599,"decrease"
"BGR","Bulgaria",77.60173331,"increase"
"BIH","Bosnia and Herzegovina",62.07018622,"decrease"
"BLZ","Belize",51.15857939,"decrease"
"BOL","Bolivia",43.63613493,"decrease"
"BRA","Brazil",77.36295262,"increase"
"BWA","Botswana",56.94622234,"decrease"
"CHN","China",88.72011335,"increase"
"CIV","Cote d'Ivoire",56.47228363,"increase"
"CMR","Cameroon",59.63646684,"increase"
"COL","Colombia",49.23346363,"decrease"
"CRI","Costa Rica",60.458657,"increase"
"DOM","Dominican Republic",52.52556475,"increase"
"DZA","Algeria",13.09340711,"decrease"
"ECU","Ecuador",43.29756184,"decrease"
"EGY","Egypt, Arab Rep.",36.32745343,"increase"
"ETH","Ethiopia",20.65645673,"decrease"
"GEO","Georgia",69.38013997,"increase"
"GHA","Ghana",80.3642716,"increase"
"GTM","Guatemala",22.57803817,"decrease"
"HND","Honduras",30.04543717,"decrease"
"HRV","Croatia",88.45250461,"increase"
"IDN","Indonesia",42.69327846,"increase"
"IND","India",48.45796457,"increase"
"IRN","Iran, Islamic Rep.",85.98491545,"increase"
"IRQ","Iraq",24.97917668,"increase"
"JOR","Jordan",38.22647982,"increase"
"KAZ","Kazakhstan",85.02222455,"increase"
"KEN","Kenya",89.28349706,"increase"
"KHM","Cambodia",32.3020485,"increase"
"LBN","Lebanon",20.25316216,"increase"
"LBR","Liberia",50.19063318,"increase"
"LBY","Libya",23.47318655,"decrease"
"LKA","Sri Lanka",47.26153067,"decrease"
"MAR","Morocco",31.99183035,"increase"
"MDG","Madagascar",21.74454102,"decrease"
"MEX","Mexico",41.39420109,"decrease"
"MLI","Mali",51.76799352,"increase"
"MNG","Mongolia",94.90542339,"decrease"
"MOZ","Mozambique",50.50911115,"increase"
"MRT","Mauritania",24.38390303,"decrease"
"MUS","Mauritius",64.04423743,"decrease"
"MWI","Malawi",48.85832089,"increase"
"MYS","Malaysia",77.46640203,"decrease"
"NAM","Namibia",67.6188409,"increase"
"NER","Niger",12.26470729,"decrease"
"NGA","Nigeria",54.47714267,"increase"
"NIC","Nicaragua",16.39316536,"decrease"
"OMN","Oman",60.44342053,"decrease"
"PAK","Pakistan",24.64179876,"increase"
"PAN","Panama",52.08210853,"increase"
"PER","Peru",51.71401906,"increase"
"PHL","Philippines",40.33380878,"decrease"
"POL","Poland",82.08730787,"decrease"
"PRY","Paraguay",55.47038612,"increase"
"ROU","Romania",63.61136859,"increase"
"SAU","Saudi Arabia",75.72463487,"increase"
"SEN","Senegal",73.47995709,"increase"
"SLE","Sierra Leone",36.73382465,"increase"
"SLV","El Salvador",27.9642408,"increase"
"SWZ","Eswatini",61.21976038,"decrease"
"THA","Thailand",82.75081301,"decrease"
"TUN","Tunisia",23.68115926,"decrease"
"TUR","Turkiye",71.41941786,"increase"
"TZA","Tanzania",57.13740225,"increase"
"UGA","Uganda",70.64183794,"increase"
"UZB","Uzbekistan",49.88204277,"increase"
"VNM","Vietnam",62.37851377,"decrease"
"ZAF","South Africa",67.17217754,"decrease"
