"payment_method","transactions","order_transaction","value","order_volume","date"
"Debit Card",0.25,4,0.01,7,"2020-Q1"
"Debit Card",0.23,4,0.01,7,"2020-Q2"
"Debit Card",0.25,4,0.01,7,"2020-Q3"
"Debit Card",0.26,4,0.02,7,"2020-Q4"
"Debit Card",0.23,4,0.01,7,"2021-Q1"
"Debit Card",0.21,4,0.01,7,"2021-Q2"
"Debit Card",0.21,4,0.01,7,"2021-Q3"
"Debit Card",0.21,4,0.01,7,"2021-Q4"
"Debit Card",0.19,4,0.01,7,"2022-Q1"
"Debit Card",0.18,4,0.01,7,"2022-Q2"
"Debit Card",0.17,4,0.01,7,"2022-Q3"
"Debit Card",0.17,4,0.01,7,"2022-Q4"
"Debit Card",0.16,4,0.01,7,"2023-Q1"
"Debit Card",0.15,4,0.01,7,"2023-Q2"
"Debit Card",0.14,4,0.01,7,"2023-Q3"
"Debit Card",0.14,4,0.01,7,"2023-Q4"
"Debit Card",0.13,4,0.01,7,"2024-Q1"
"Debit Card",0.12,4,0.01,7,"2024-Q2"
"Debit Card",0.12,4,0.01,7,"2024-Q3"
"Debit Card",0.11,4,0.01,7,"2024-Q4"
"Debit Card",0.11,4,0.01,7,"2025-Q1"
"Debit Card",0.11,4,0.01,7,"2025-Q2"
"Credit Card",0.22,3,0.02,6,"2020-Q1"
"Credit Card",0.19,3,0.02,6,"2020-Q2"
"Credit Card",0.19,3,0.02,6,"2020-Q3"
"Credit Card",0.2,3,0.02,6,"2020-Q4"
"Credit Card",0.2,3,0.02,6,"2021-Q1"
"Credit Card",0.19,3,0.02,6,"2021-Q2"
"Credit Card",0.2,3,0.02,6,"2021-Q3"
"Credit Card",0.2,3,0.02,6,"2021-Q4"
"Credit Card",0.2,3,0.02,6,"2022-Q1"
"Credit Card",0.19,3,0.02,6,"2022-Q2"
"Credit Card",0.19,3,0.02,6,"2022-Q3"
"Credit Card",0.18,3,0.02,6,"2022-Q4"
"Credit Card",0.18,3,0.02,6,"2023-Q1"
"Credit Card",0.17,3,0.02,6,"2023-Q2"
"Credit Card",0.16,3,0.02,6,"2023-Q3"
"Credit Card",0.16,3,0.02,6,"2023-Q4"
"Credit Card",0.15,3,0.02,6,"2024-Q1"
"Credit Card",0.15,3,0.02,6,"2024-Q2"
"Credit Card",0.14,3,0.02,6,"2024-Q3"
"Credit Card",0.14,3,0.02,6,"2024-Q4"
"Credit Card",0.15,3,0.02,6,"2025-Q1"
"Credit Card",0.14,3,0.02,6,"2025-Q2"
"Cash Withdrawal",0.09,6,0.05,5,"2020-Q1"
"Cash Withdrawal",0.09,6,0.05,5,"2020-Q2"
"Cash Withdrawal",0.08,6,0.05,5,"2020-Q3"
"Cash Withdrawal",0.08,6,0.04,5,"2020-Q4"
"Cash Withdrawal",0.07,6,0.04,5,"2021-Q1"
"Cash Withdrawal",0.06,6,0.04,5,"2021-Q2"
"Cash Withdrawal",0.05,6,0.03,5,"2021-Q3"
"Cash Withdrawal",0.05,6,0.03,5,"2021-Q4"
"Cash Withdrawal",0.04,6,0.03,5,"2022-Q1"
"Cash Withdrawal",0.04,6,0.03,5,"2022-Q2"
"Cash Withdrawal",0.04,6,0.03,5,"2022-Q3"
"Cash Withdrawal",0.04,6,0.03,5,"2022-Q4"
"Cash Withdrawal",0.03,6,0.03,5,"2023-Q1"
"Cash Withdrawal",0.03,6,0.03,5,"2023-Q2"
"Cash Withdrawal",0.03,6,0.03,5,"2023-Q3"
"Cash Withdrawal",0.02,6,0.02,5,"2023-Q4"
"Cash Withdrawal",0.02,6,0.02,5,"2024-Q1"
"Cash Withdrawal",0.02,6,0.02,5,"2024-Q2"
"Cash Withdrawal",0.02,6,0.02,5,"2024-Q3"
"Cash Withdrawal",0.02,6,0.02,5,"2024-Q4"
"Cash Withdrawal",0.02,6,0.02,5,"2025-Q1"
"Cash Withdrawal",0.02,6,0.02,5,"2025-Q2"
"Other",0.27,2,0.1,4,"2020-Q1"
"Other",0.29,2,0.09,4,"2020-Q2"
"Other",0.28,2,0.08,4,"2020-Q3"
"Other",0.27,2,0.09,4,"2020-Q4"
"Other",0.27,2,0.09,4,"2021-Q1"
"Other",0.26,2,0.09,4,"2021-Q2"
"Other",0.25,2,0.08,4,"2021-Q3"
"Other",0.22,2,0.08,4,"2021-Q4"
"Other",0.23,2,0.09,4,"2022-Q1"
"Other",0.22,2,0.08,4,"2022-Q2"
"Other",0.21,2,0.08,4,"2022-Q3"
"Other",0.2,2,0.08,4,"2022-Q4"
"Other",0.2,2,0.08,4,"2023-Q1"
"Other",0.2,2,0.08,4,"2023-Q2"
"Other",0.19,2,0.08,4,"2023-Q3"
"Other",0.19,2,0.08,4,"2023-Q4"
"Other",0.19,2,0.08,4,"2024-Q1"
"Other",0.19,2,0.07,4,"2024-Q2"
"Other",0.2,2,0.06,4,"2024-Q3"
"Other",0.19,2,0.07,4,"2024-Q4"
"Other",0.17,2,0.07,4,"2025-Q1"
"Other",0.17,2,0.06,4,"2025-Q2"
"Boleto",0.11,5,0.1,3,"2020-Q1"
"Boleto",0.13,5,0.1,3,"2020-Q2"
"Boleto",0.12,5,0.12,3,"2020-Q3"
"Boleto",0.11,5,0.11,3,"2020-Q4"
"Boleto",0.11,5,0.1,3,"2021-Q1"
"Boleto",0.1,5,0.1,3,"2021-Q2"
"Boleto",0.09,5,0.1,3,"2021-Q3"
"Boleto",0.08,5,0.1,3,"2021-Q4"
"Boleto",0.08,5,0.09,3,"2022-Q1"
"Boleto",0.07,5,0.09,3,"2022-Q2"
"Boleto",0.07,5,0.1,3,"2022-Q3"
"Boleto",0.06,5,0.1,3,"2022-Q4"
"Boleto",0.06,5,0.1,3,"2023-Q1"
"Boleto",0.06,5,0.09,3,"2023-Q2"
"Boleto",0.05,5,0.09,3,"2023-Q3"
"Boleto",0.05,5,0.09,3,"2023-Q4"
"Boleto",0.05,5,0.09,3,"2024-Q1"
"Boleto",0.04,5,0.09,3,"2024-Q2"
"Boleto",0.04,5,0.08,3,"2024-Q3"
"Boleto",0.04,5,0.08,3,"2024-Q4"
"Boleto",0.04,5,0.08,3,"2025-Q1"
"Boleto",0.04,5,0.08,3,"2025-Q2"
"PIX",0,1,0,2,"2020-Q1"
